movie,sentence,score
스즈메의 문단속,규슈의 한적한 마을에 살고 있는 소녀 스즈메는 문을 찾아 여행 중인 청년 소타를 만난다. 그의 뒤를 쫓아 산속 폐허에서 발견한 낡은 문. 스즈메가 무언가에 이끌리듯 문을 열자 마을에 재난의 위기가 닥쳐오고 가문 대대로 문 너머의 재난을 봉인하는 소타를 도와 간신히 문을 닫는다.  수수께끼의 고양이 다이진이 나타나 소타를 의자로 바꿔 버리고 일본 각지의 폐허에 재난을 부르는 문이 열리기 시작하자 스즈메는 의자가 된 소타와 함께 재난을 막기 위한 여정에 나선다.,10
더 웨일,"마지막 장면, 마지막 연출이 잊혀지질 않는다.",10
유체이탈자,일행이 윤계상 팬이어서 봤는데 예상보다 괜찮았음. 코로x 상황 때문에 흥행은 좀 아쉽다.,7
해리 포터와 불사조 기사단,시리우스와 엄브릿지의 존재감,9
멍뭉이,영화라지만 현실감이 너무 없어 몰입이 안 됐습니다.,6
똑똑똑,자세한 비하인드적인 그들의 일에 대한 설명을 대변하는 영상을 보여주지않아서 실망이였지만 나름 좋은 스토리보드의 영화이였던건 사실임그러나 뭔가 좀 부족하다 ㅠ,7
영웅,절대 잊지 말아야하는  우리의 독립운동가 분들죽을때까지  감사하며   마음속깊이  담아두고 살아가겠습니다  대한독립만세,10
이별의 아침에 약속의 꽃을 장식하자,애니메이션 보다가 되게 서럽게 울었던 것은 처음..,10
루터: 태양의 몰락,보는 내내 암걸려 죽을뻔 나만 죽을수 없다 다같이 죽자 ,10
스즈메의 문단속,재밌는데 다들 왜 별로라하지??? 같은거 반복은 있지만 날씨의아이보다는 스토리도 있고 재밌음!! ost굿,10
카운트,"1988년 올림픽 금메달리스트지만 고등학교 선생인 박시헌.  우연히 참석한 대회에서 뛰어난 실력에도 불구하고 승부 조작으로 기권패를 당한 윤우를 알게 된 시헌은 복싱부를 만들기로 결심한다. 아내 일선의 열렬한 반대와, 교장의 끈질긴 만류도 무시한 채, 시헌은 독기만 남은 유망주 윤우와 영문도 모른 채 레이더망에 걸린 환주, 복안을 데리고 본격적인 훈련에 돌입하기 시작한다.",10
소울메이트,그냥... 계속 생각나서 평점 달아봐요 연기가 진짜 짱이고 ost도 알맞게 잘 넣은 거 같아요,10
플레인,킬링타임용으론 제격! ㅎㅎ,8
비스트,"흠. 오랜만에, 답답한 영화한편 봤네요.큰딸내미 차밖으로 갑자기 튀어나갈때, 노답.",2
아포칼립토,충격 그 자체.. 영화를 보면 신기한 체험을 한다. 나도 마야인이 되어 그 뜨거운 태양 아래 존재하게 된다. ,10
이니셰린의 밴시,큰일을 이루기 위해 반드시 작은일이 희생되어야만 하는가?,8
더 퍼스트 슬램덩크,하 기대를 너무많이한건가.. 대사 존나 오글거리고 송태섭 서사장면 나올때마다 존나 텐션떨어지고 졸리고 그냥 마지막 10분정도만 볼만함.. ㅡㅡ어차피 미국가면 드래프트도 안되고 지리그 전전하다 국내복귀하는 그런현실,6
더 웨일,272kg의 거구로 세상을 거부한 채 살아가는 대학 강사 찰리는 남은 시간이 얼마 없음을 느끼고 오랫동안 만나지 못한 10대 딸 엘리를 집으로 초대한다. 매일 자신을 찾아와 에세이 한 편을 완성하면 전 재산을 주겠다고 제안한다.,10
소울메이트,이렇게까지 순애일 줄이야..너무 좋다,8
아담스 패밀리 2,보다 착해진 아담스 패밀리,7
스즈메의 문단속,절세미남 소타를 구하러가는 스즈메 용사의 모험(+귀여운 고양이),7
장르만 로맨스,생소한 관계들도 모두 로맨스로,7
스즈메의 문단속,여주가 남주를 위해서 목숨을 바치려고 하는 부분이 공감이 안됨,4
존 윅,존윅의 장르는 예술 영화다.,10
소울메이트,잔잔하고 고요한 바다에 가끔씩 세게 몰아치는 파도같이 기억 속에 오랫동안 남을 영화.,10
비스트,무자식이 상팔자임을 새삼 일깨워주는 영화랄까,4
킬링 카인드: 킬러의 수제자,액션은 좋지만 스토리가 이상,5
소울메이트,연기가 너무 좋았어요. 진짜 친군줄,10
"귀멸의 칼날: 상현집결, 그리고 도공 마을로","2기 10,11화를 다시 큰 화면과 소리로 보니까 감회가 새로웠고, 상현집결을 4DX로 보니까 정신이 혼미해질 정도로 잘 만들었음. 재탕이다 뭐다라는 말은 많지만 3기 1화를 미리 영화관에서 볼 수 있다는 점에서 좋은 거 같음.",9
헤어질 결심,이게 평론가 평점이 왜높은거냐 개노잼이던데,2
마이 뉴욕 다이어리,뉴욕에 문학적 감성이 물씬,7
"나는 내일, 어제의 너와 만난다","흥미로운 아이디어, 진부함을 벗어나지 못한 스토리텔링.",6
소울메이트,연기가 좋아서 집중 할 수 있었습니다 ~ ,7
스즈메의 문단속,재미도 없고 감동만 줄려는거 같음,1
미져리,그 당시 &amp;#34;미져리 같은 놈&amp;#34; 이라는 욕이 있었지...,8
영웅,정말 좋네요 오랜만에 좋은영화봤어요,10
외계+인 1부,방금 봤는데 난 박진감 있고 재밌던데 영화평론가라는 인간들 혹평은 진짜 믿을게 못되네내가 SF를 좋아해서 그런가 왠만한 서양SF보다 재밌던데,9
퍼플 하트,아 진짜 너무 너무 재밌음 시즌2 존버한다,10
비바리움,"걍 허무..감동도,재미도,의미도,메세지도 아무것도 없는 최악의 영화",1
두개의 빛: 릴루미노,"2021년도에 아파 집에만 약 2달 동안 있었을 때 나를 걱정하시던 어머니가 갑자기 이 작품을 보자고 해서 함께 본 작품이었습니다. 이후로 가장 좋아하는 영화가 되어 힘들 때마다 다시 찾아보는데 평점이 아무것도 써져있지 않길래 속상해서 늦게나마 적습니다. 연출도 연기도 감히 제가 완벽하다고 말할 수 없을 정도로 뛰어난 명작입니다. 몰입도도 정말 높고 감정 표현은 물론,  내면의 연기도 표현할 수 없을 정도로 대단하십니다.한지민 배우님과 박형식 배우님, 두 분 다 연기를 많이 사랑하시는 게 느껴져서 러닝타임 내내 행복했습니다. 연기전공인 학생으로 많이 힘들었던 시기인데 제게 연기를 더 사랑하게 만들어준 영화입니다.",10
살수,클레멘타인에 버금가는 명작입니다. 한번 보고선 이해할 수 없어요~ 꼭 3번 이상 보셔야 합니다. 마지막 5분이 정말 잊지 못할거 같네요. 저와 같은 감동을 다들 느껴보셨으면 좋겠읍니다^^,10
플레인,킬링타임용으론 제격! ㅎㅎ,8
소울메이트,마치 내가 제주도 바다 앞에 있었던 것 같은 기억 조작,10
솔캠,다 연기 잘하는데 정장여자만 연기 졸 못함 ,10
미져리,진정한 사이코의 대명사. 지금 봐도 신선하네.,10
메이드 인 이태리,시각적인 편안함과 따뜻함이 곧 메시지인 듯,7
소울메이트,정말 오랜만에. 잔잔하고. 감동도 있었어요연기도 잘하고 재미있게 봤습니다,9
스즈메의 문단속,몬얘기지 나만이해못하는건가?! 영상미는 굿,1
터널,다필요 없고 마지막에 구출 후에 다 꺼져 개새끼들아 할때 너무 시원했다,10
똑똑똑,그냥 그렇습니다 ~ 반전이 없습니다요 ㅠ ,4
소울메이트,"사실 원작을 본 터라 별로 기대 안하고 오직 김다미 배우 팬심으로 보러 갔어요. 그런데 웬걸요! 원작을 볼 땐 별 감흥이 없었는데, 이 영화를 볼 땐 어찌나 울컥하고 아련하고 눈물이 나던지요. 이렇게 잘만든, 오히려 원작이 생각안 날 정도로 훌륭한 리메이크작은 처음입니다. 단순히 청량하고 밝고 유쾌한 스토리 전혀 아닙니다. 올해 최고의 한국 영화라 감히 자부합니다! 지인짜 잘 만들었어요~ 최고최고 따따봉",10
더 퍼스트 슬램덩크,"만화부터가 연출이 미친 만화고 그 작가님이 감독으로 들어간 영화라 연출은 두말할 것도 없다 러브로켓부터 블리자드 러너, 제제로감으로 이어지는 ost도 최고고 당연히... 마지막 5분은 미쳤음 7번봤는데 7번 다 숨 참음",10
다음 소희,꼭 보세요       힘내세요 젊은이들,10
소울메이트,잔잔한 물결에도 파도는 일렁인다.,6
스즈메의 문단속,꽤나재밌습니다. 아깝단생각은안드네요,8
라스트 나잇 인 소호,반짝이며 뒤집히는 호러 공간 속으로,7
스즈메의 문단속,진짜 개재밌습니다 꼭 보세요,10
스즈메의 문단속,개연성을 잘 따지는 편은 아닌데 이건 진짜 선을 넘었는데....그래도 작화는 좋음,3
마이 네임 이즈 벤데타,딸년 때문에 암걸리는줄 알아따 상식에 맞지않는 억지스러운 스토리 인간이 저 딸년처럼 행동하는건 불가능하다고 본다.너무 억지!,2
바빌론,호흡이 빨라서 3시간이지만 볼만했던 영화. 라라랜드의 다크한 버전인가 싶은 순간이 있지만 그게 다는 아님.,10
스마트폰을 떨어뜨렸을 뿐인데,개연성 파괴...시간이 넘쳐나는 분만 보세요,1
샤잠! 신들의 분노,진중한면이 없어 호불호가 갈릴거 같은데 전 웃으면서 재밌게 봤어요,9
소울메이트,두 배우가 잘 보여서 좋았습니다,5
아웃레이지,1편은 걸작이다. 시이나 깃페이 개멋짐,10
데시벨,끝까지 밀고가는 힘이라도 있었으면 좋았을텐데...부족한 스케일을 채우기엔 스토리도 아쉽다,6
똑똑똑,이번에는 말하고자 하는 바가 와닿지 않네요,3
스즈메의 문단속,영상미도 좋고 스토리도 좋았습니다,9
고스트버스터즈 라이즈,추억을 타고 붕붕,7
더 퍼스트 슬램덩크,이 영화보고 슬램덩크 정주행중...,10
스즈메의 문단속,재난의 희생자들을 기억하고 어루만지는 연출과 이야기. 그 간절함에서 오는 몰입감.,8
스즈메의 문단속,스토리 ost 영상미 다 최고다,10
압꾸정,재밋는데 왜 평점낮음? ㄷ ㄷ ,10
대외비,마무리가 아쉽긴했지만 재밌게 봤어요,7
그대 어이가리,너무 감명깊게 봤습니다.강추입니다,10
플레인,액션 치고는 잔잔하긴 하지만 제라드 버틀러의 연기를 보면 뭔가 모르게 몰입이 되는 경우가 많은 것 같다,8
스즈메의 문단속,개인적으로는 전작만큼 뭉클한 요소가 부족햇다고 생각하지만 충분히 만족햇어요. 마코토 감독님 첫 영화관 관람!,7
리슨,듣지 않는 절차에 대한 절박한 메시지,8
본즈 앤 올,볼만하고 재밌어요. 조금 무서워요.,9
소울메이트,어떤 사랑은 우정으로 오해받는다,7
스즈메의 문단속,일본 애니계에 새로운 문을 열어,7
압꾸정,좋아요.연기도내용도,10
스즈메의 문단속,신카이 마코토의 신은 神이다,10
더 메뉴,뭔가 알 거 같은데 모르겠다,6
똑똑똑,이게 끝이야?... 황당,6
서치 2,볼만하고 재밌습니다.,9
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",볼만하고 재밌습니다.,8
스즈메의 문단속,얼빠 주인공의 행적이 공감이 안감,3
스즈메의 문단속,볼만하고 재밌습니다.,9
박열,"올해로 관동대진재 100주년 그리고 재일조선인 학살의 기억. &amp;lt;스즈메의 문단속&amp;gt;(2023)은 일제가 범한 당시 가해의 역사가 어떻게 신도(神道)라는 종교적 내러티브에 의해 미화되는지를 선명하게 보여준다. 이 영화와 이준익 감독의 &amp;lt;박열&amp;gt;(2017)을 교차시켜 보면, 여전히 왜곡된 일본의 문화적 기억은 명백하다. 이 영화는 영화이기 이전에 윤리적인 거짓이고, 한일의 기억전쟁은 현재진행형이다. ",10
어두워질 때까지,이 영화 개봉 당시 내가 초등학교 4학년 만 9세때다 .지금은 만 65세 노인이 됐다.소년이 노인이 되는 시간이 순간이것 같다.엊그제 같은데.,10
아멜리에,소심하고 집요하게 사랑스러운,8
샤잠! 신들의 분노,볼만한데 조금 아쉬워요.,8
위대한 쇼맨,진짜 이것만큼 노래좋고 스토리좋고 다좋은 영화보기힘듦,10
샤잠! 신들의 분노,온가족이 볼만한 반전영화!,8
스즈메의 문단속,"올해로 관동대진재 100주년 그리고 재일조선인 학살의 기억. &amp;lt;스즈메의 문단속&amp;gt;(2023)은 일제가 범한 당시 가해의 역사가 어떻게 신도(神道)라는 종교적 내러티브에 의해 미화되는지를 선명하게 보여준다. 이 영화와 이준익 감독의 &amp;lt;박열&amp;gt;(2017)을 교차시켜 보면, 여전히 왜곡된 일본의 문화적 기억은 명백하다. 이 영화는 영화이기 이전에 윤리적인 거짓이고, 한일의 기억전쟁은 현재진행형이다. ",1
스즈메의 문단속,신카이마코토 감독님의 감성을 좋아하고 음악도 좋고 작화는 개인적으로 애니메이션 중에 최고라고 생각해요,10
블랙폰,소년 소녀의 미숙한 순수함은 잔혹함과 공포를 무능한 어른들의 도움없이 침착하게 이겨내게한다. 섬뜩하면서도 기발하고 아름다운 느낌의 영화 ,8
킹스맨: 퍼스트 에이전트,역사적 배경이 더해진 킹스맨,7
스네이크 아이즈: 지.아이.조,졸작 중에 졸작이병헌이 훨 멋있음,1
샤잠! 신들의 분노,허무한 dc판 파워레인저,4
샤잠! 신들의 분노,허무한 dc판 파워레인저,4
대외비,재밌는데 평점 왜 이럼??,10
마루이 비디오,하하 이거 대체 뭔데 ㅋㅋㅋㅋ,2
플레인,기대 없이 봤는데 존잼 쿠폰받아서 본건데 만오처넌 다 주고 봤어도 후회없었을 영화,10
타이타닉,영화의 끝판왕,10
우리들,아이들 연기와 연출에 놀랍다.잔잔하지만 감동이 있고 공감이 있었다.또래의 아이들을 키우는 입장에서 아이들의 말에 더 관심을 기울여야겠다.,10
어떤 영웅,정직과 명예에  대한 복잡한 풍자,8
소울메이트,그들을 담아내기보다 &amp;#39;이건 이렇게 느껴야 해 &amp;#39;라는 정답을 전하는 느낌. 영화의 감성을 온전히 받아들이고 싶었지만 감성에 치우친 연출이 오히려 거부감을 주었다. ,6
스즈메의 문단속,역시 만화는 일본이다.. 얼마만의 돈 아깝지 않는 영화인가 또 볼 의향 있음,10
브로커,영화의 감동은 대사가 아니라 연기와 연출로 전해야 한다는 것을 찐하게 보여준다,10
소울메이트,어제 퇴근해서 집에 왔는데 아내가 소울메이트 오늘 개봉했다며 밤10:05 CGV용인 가서 영화를 보자고 했다. 약간 졸립고 피곤한 몸을 이끌고 아아를 한잔 시켜 상영관에 들어갔다. 컴포트관이어서 의자가 완전히 침대처럼 누워지는 것이다. 피곤한데 개꿀 잠이나 늘어지게 자야겠다며 있는데 영화가 시작되자 점점 의자를 세워야했다. 아내가 원작은 중국영화이고 주연 중국배우 모두 주연상을 탔다고 설명을 해주었다. 너무 감동적이어서 눈을 잠시도 뗄 수 없었고 주연배우들의 연기가 흠잡을데 없이 자연스러움. 감독의 연출력과 편집구성은 가히 완벽한 듯. 불필요하거나 지루한 장면이 없다. 주인공들은 진정한 소울메이트였다. 끝까지 스크린에서 눈을 떼지마시고 집중해서 보시길. 라스트 씬에 나오는 바이칼호 너무 멋져요~ 꼭 가보고 싶다. 소울메이트 강추에요. 누군가의 위로가 필요할때 마음이 걍팍해 졌을때 번아웃되어 에너지 충전이 필요하시다면 소울메이트 꼭 챙겨보세요.포스트 코로나 시대에 청량한 사이다 같은 영화가 나왔네요^^,10
라일 라일 크로커다일,뻔한 내용이어도 귀여운 악어의 노래는 신선,7
애프터썬,"소피, 정말 사랑해. 그건 절대 잊지 마.",9
소울메이트,우리는 동성이기에 우정이라 여겼고 이성이기에 사랑이라고 착각하는 순간들을 살아간다는 말에 그렇게 마음 저렸는데 정말 누군가가 떠오르는 영화였어요 우정과 연애 중 선택이 불가할 때도 있는 거구나 그런 관계도 사랑도 있는 거구나 사랑이 우정을 닮은 건지 우정이 사랑을 닮은 건지 여전히 알 수 없지만 우정도 사랑의 일종이라고 생각하는데 그러기엔 제가 눈에 담고 귀로 들었던 마음의 농도가 상당해서 사랑이라고 밖엔 할 수 없는 거 같은데 하 너무 재밌어요 다들 꼭 보십셔 일말의 후회도 없어요 지루한가 싶으실 수도 있는데 그런 거 없구 꼭꼭 봐주세요 참고로 원작도 같은 듯 다른 듯 엄청나니까 보는 게 탁월한 선택일 거라고 장담할게요 ,10
어쩌면 우린 헤어졌는지 모른다,정팔아 너 나온다해서 일부러 봤는데 솔직히 좀 노잼이다. ,4
자백,빈틈이 간간이 있지만 스토리에 끌려가게 된다,7
디바이드,밀폐된 공간에서 계속 있으면 정신이 미쳐버리는 것은 한순간. 나 자신만 챙기면 돼.,2
멋진 세계,사는게 힘들죠? 사는게 힘든 겁니다.,9
살수,&amp;#39;클레멘타인&amp;#39;과 &amp;#39;성냥팔이소녀의재림&amp;#39;을 잇는 한국영화 희대의 명작임. 꼭 보시오. 두번 보시오.,10
블랙 아담,히어로물의 뻔한 부분이 있지만 그럼에도 시원시원한 볼거리들,6
스즈메의 문단속,클리셰 범벅이라 너무 재밌었다,10
샤잠! 신들의 분노,손발이 오그라들어서 겨우 평점 남김,2
에브리씽 에브리웨어 올 앳 원스,"정신없는 영화~~재미도없고, 개연성도 떨어지고산만하기 그지없다",2
스즈메의 문단속,나도 애니메이션 속에서 살고싶다,10
늑대사냥,잔인한 연출에 올인,4
앵커,배우들이 너무 아까워요.. 아깝습니다. 대본부터 연출 등등 이렇게 지루하게 끌고 가서 진부하게 클라이맥스를 찍고 내려올 수 있나 싶어요.. 내 두 시간 어떡해,1
올빼미,가설에 근거한 기발한 상상력이나 너무 과했다.,6
공조2: 인터내셔날,공조만의 재미가 또 한번,8
소울메이트,나도 누군가에게 보고만 있어도 눈물이 날 것 같은 그런 친구이고 싶다.,9
이니셰린의 밴시,"죽음의 그림자를 밟고서 삶의 의미를 쟁취하기 위해 몸부림치는 생의 덧없음이여. 염세주의와 인본주의의 교차점 어딘가에 잠잠히, 허나 꿋꿋이 서 있는 희비극. 각본과 캐릭터가 스크린 위에서 춤을 추는 것만 같다. ",8
놉,메시지를 한 번에 이해하긴 어렵지만 역시 연출에 감탄하게 되는,7
한산: 용의 출현,숨이 막히는 웅장함과 매서운 사운드의 울림,9
노무현입니다,노무현을 좋아하는 사람들이 볼 영화가 아니고 노무현을 싫어하는 사람들이 봐야 할 영화,10
스즈메의 문단속,"특별하게 일본 스타일 멋진 영상미를 즐기는게 아니라면 스토리는 노잼이었음,, 개연성도 부족하고 주인공 그냥 핵얼빠....",4
데시벨,그사람많은 장소들에 팀도아닌 1인 테러범이 폭탄을 설치하고 전화를하고 납치도 하고ㅋㅋㅋ 영화로 볼려고해도 집중안됨.. 수영장에 폭탄설치만해도 어찌한거임?? 물속에 들어가서 해야되는뎈ㅋ 대체언제가서 함 뭔가 질질 끌지않고 흐름은 긴장감이 있긴했음 배우들 연기도 굿... 잠수함에서의 사건도 찡하고 좋은 설정이었는데 이종석이 혼자 너무 슈퍼맨테러범인듯.... 이해안가서 주변에 추천은 안하고싶은 영화,4
시맨틱 에러: 더 무비,영화로는 다소 긴 감이 있지만 연결은 잘 된둡,7
빛과 철,21.02.20.가는 자보다 남겨진 자가 이별의 끈을 놓지 못해 우네.,7
외계+인 1부,갈 수록 정돈되지만 어지럽다.,5
스즈메의 문단속,재미와 감동이 있네요ㅎ,9
속닥속닥,21.02.16.비주얼이라도 잘 뽑는 게 그리 어렵나.,3
헌트,속도감 있는 추적과 지극히 한국적인 이야기,7
이별의 아침에 약속의 꽃을 장식하자,21.02.14.이렇게 많이 울어버릴 줄이야.,8
에브리씽 에브리웨어 올 앳 원스,멀티버스와 가족의 사랑을 특이하게 다룬 영화,6
스마트폰을 떨어뜨렸을 뿐인데,억지스럽다.재미없다고요.,2
교섭,잠자는게 제일 재밌고 행복했네요 오랜만에 꿀잠 잤습니다,10
스즈메의 문단속,오랜만에 재미있는 일본 애니를 보았습니다.,9
스즈메의 문단속,"연출과 영상미만 10점, 개연성은 0점",10
샤잠! 신들의 분노,샤잠! 팬들의 분노..,1
비상선언,"사회 비판적 메시지와 기내 연출, 배우 연기가 모두 튀어서 혼란스럽다",6
그대 어이가리,동반자살장려영화그리고 여긴 경칠이 없습니까?남편이 아내를 죽였는데 안잡혀요?,2
스즈메의 문단속,작화가 예쁘고 영상미가 좋아 만족스러웠습니다.,9
태극기 휘날리며,"적당한 신파와 엄청난 연기, 스토리에 20년이 지나도 아직도 기억나는 OST까지, 국내 영화 탑 중 하나라고 생각드는 대작..",10
3:10 투 유마,물러서지 않고 끝까지 싸운 자에게 경의를 표함,10
데시벨,태극기휘날리며 아마겟돈을 간 영화..,4
플레인,역시 제라드 버틀러 주연 영화는 기본 한방이 있다.,10
스즈메의 문단속,진짜 개꿀잼 너의 이름은 보다 훨씬 꿀잼,10
스즈메의 문단속,감동은 예상되는데 영상미는 좋아요,6
소울메이트,가볍게 보러 갔는데 인생영화 추가됨 이런 영화일줄은 몰랐지..,10
스즈메의 문단속,기대했던 것보다 지루함..,8
유령,하앍 존나재밋다!!!,10
더 퍼스트 슬램덩크,기대 이상임. 만화 예상하고 봤는데 재미 있네요,9
스즈메의 문단속,기대한것보다 너무 재밌었어요 긴장감을 놓칠수가 없었네요 . 사랑에 빠지고 오그라들고 이런 포인트가 있었지만 상상도 못함 포인트가 더 많아서 좋았습니더,9
스즈메의 문단속,ㄹㅇ 꿀잼 소름돋았습니다,10
소울메이트,한걸음 뒤에서 너에게 보내는 응원,9
교섭,그냥 뻔한스토리에 결말인데무난하게 볼만함,6
압꾸정,재밌어요 킬링타임으로 굿,10
올빼미,와 타짜3에 준이엄마를 보게될줄이야,10
스즈메의 문단속,영상미 좋았고 문열때마다 ost 음악 좋아요 소타??스즈메,8
살수,멋지네요 최고입니다 응원합니다,10
샤잠! 신들의 분노,화장실 개그 좋음,7
플레인,킬링타임용으로 볼만함,7
소울메이트,김다미 연기 좋았다,7
스즈메의 문단속,"감독이 이제껏 만든 애니 중에 최악임...진짜 몇번이나 나갈려다가 참았는데 다 보고 너무 후회됐다. 나갈걸. 내용 개연성도 별로고 흐름 끊어 먹고, 스즈메도 이해 안되고 정말 진부하다는 느낌. 이 감독 전엔 좋았었는데.. 실망스럽다. 매우.",2
스즈메의 문단속,스토리는 졸렸지만 영상미와 사운드에 놀랐음. 애니메이션이 이렇게 발전했나,6
샤잠! 신들의 분노,그냥.. 그랬음 쿠키영상이 젤 재밌음..,6
타오르는 여인의 초상,모든 것이 좋았다! 장면마다 명화를 감상하는 느낌이 든다.,10
샤잠! 신들의 분노,샤잠2 잘 봤어요~,8
형,조아요 슬퍼요ㅠ 울음....,10
이니셰린의 밴시,뭘 얘기하고 싶은지 모르겠어서 너무 슬프다 말 안 들어처먹는 주인공 욕하면 되나?,5
소울메이트,소울메이트 좋았어요~,9
스즈메의 문단속,재미있게 봤어요,10
데시벨,영화 소재는 나쁘지 않으나 개연성 때문에 몰입도가 너무 떨어지네요...;;,4
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",잘봤어요,8
대외비,잘봤어요,8
아임 히어로 더 파이널,잘봤어요,10
다음 소희,다음 소희 잘 봤습니다,9
샤잠!,DC는 끝났다.샤 : 샤악잠 : 잠온다,1
미져리,고유명사를 탄생시킨 레전드 스릴러 영화! 광기의 그녀가 선사하는 몰입도 100% 공포,10
스즈메의 문단속,진짜 너무너무 감동에 몰입할 수밖에 없는 음악과 영상미와 연출력... 시간이 훌쩍 지나 끝나는 게 아쉬웠던.. 또 보고 싶네요 다이진이 너무 귀엽고 ㅠ 맘 아프고 행복한 영화,10
앤트맨과 와스프: 퀀텀매니아,요즘 마블이 나올때마다 이번에는 성공하겠지란 생각을 계속했는데 이젠 진짜 성공하기 힘들겠다 마블,6
스타워즈 에피소드 6 - 제다이의 귀환,살짝 아쉬운 면이 있어도 스타워즈니까 만족스럽다,8
소울메이트,미소야 하은아ㅠㅠㅠ 왜 이렇게 슬프니... 추억이란.. 정말 슬픈것 같아 ,10
소울메이트,짧은 인생 하고싶은거 하며 살자! 아둥바둥 살 필요 없어 . 방향만 잘잡고 살면된다. 느끼게해준 영화그걸 깨달았을 땐 이미 늦지 않기위해 난 지금부터 하고싶은거 하련당,9
극장판 검정고무신 : 즐거운 나의 집,열받네 이거 정말 ㅡㅡ흐,1
3:10 투 유마,사람 거리낌 없이 막 죽이는 살인마 갱단 두목이 우연히 만난 댄한테 존나 감정이입해서 자기 갱단도 버려버리는 존나 황당한 영화. ,6
이 아이는 사악하다 , 사이코패스를 두둔하기 위해서 스토리에 드라마적인 요소를 끼워넣는 것이 너무 역겹다. 요즘 이런 영화가 너무 많다. 이 정도면 영화감독들이 다 사이코패스가 아닌가 싶다. ,1
스즈메의 문단속,신카미마코토 감독님의 재난영화 완결판답게 감동과 영상미에 울컥하기까지...,10
브로커,일본스러움과 한국스러움이 적절히 섞인 느낌...이런 장르를 좋아하지 않지만 예상외로 끝까지 관객을 밀고 가 주네요 ,8
탑건: 매버릭,무슨 포맷으로 봐도 재밌는 신기한 영화,10
전우치,2009년이면타이타닉 나오고10년 후 영화인데음향진짜 80년대 수준이고몰입갑 1도 없고그당시 아바타와 동급이라고주장하던희한한 인간 잘 살고 있냐?결국은 아바타는역사적으로 위대한 작품이 됐고피카소와 초딩작품 수준 차이도모르는 인간 판명 ㅋㅋ뭐 취향은 존중하지만,1
카페 벨에포크,말로 구구절절하기보다 혼자 오래 곱씹어보고 싶은 영화,10
더 퍼스트 슬램덩크,또 보고 싶어요 또 이제라도 영화관에서 봐서 다행이요,10
샤잠! 신들의 분노,악당이 너무 약해서 긴장감이 없음..영상미와 스케일은 좋으나 말장난 같은 대사는 전혀 코믹하지 않고 유치함,7
폭풍의 시간,오랜만에 잘만든 영화한편 봤네요. 과하거나 모자라지않으면서 너무 어렵지도 않게 스토리도 적절히 구성하고...집중해서 끝까지 본것도 오랜만입니다. 그리고 여주 너무 이쁨,10
샤잠! 신들의 분노,"무지개 맛을 봐라 , 어머니",8
소울메이트,미친 영화다 제발 보세요,10
스즈메의 문단속,너무 기대했습니다... 영상미는 좋았어요,4
스즈메의 문단속,"영화 시작 10분에 여주의 민폐짓으로 모든 사건이 시작되서 집중 안됌.. 걍.. 내내 니가 잘못해서 그런거자나.. 하면서 보게된.. 그냥 그 다이진, 고양이가 불쌍했다..ㅎ",8
소울메이트,원작과 김다미의 힘인가?  생각지도 않았는데  너무 재밌게 봤습니다.진짜 마음이 울컥 했습니다.,10
소울메이트,시간이 가는줄도 모르고 봤습니다. 따뜻한 영화 감사합니다,10
스즈메의 문단속,역시 후속작도 레전드다,10
살수,혹여나 이 영화를 끝까지 다 보신분이 계신다면 존경을 표하는 바입니다.,1
우리가 잃어버릴 청춘,"큰 기대는 금물...잔잔하나, 애잔하진 않네요",7
어쩌면 우린 헤어졌는지 모른다,이동휘의 맛깔나는 연기가 잘 스며든 영화,6
에브리씽 에브리웨어 올 앳 원스+,아카데미상 받은거라고 기대하고 봤는데 완전 병맛이자나. 아카데미가 돌았네. 누가봐도 B급영화. 솔직히 평점 10점짜리 알바들 맞지?,1
샤잠! 신들의 분노,벌써 8점이면 얼마나 내려갈라나~,1
스즈메의 문단속,"원래 일본 애니 영화는 영상미는 좋아도 개연성이 정말 아쉬워서 마음에 드는 작품을 찾기 어려웠는데, 오랜만에 흡입력이 대단한 영화를 만난 것 같아요!영상미는 물론이고 색체, ost와 개연성, 스토리까지 완벽했고, 일상의 소중함과 삶의 소중함을 일깨워 주는 소중한 영화입니다!! 이 영화를 보고 살고 싶다는 기분을 처음으로 느꼈어요. 힘들게 삶을 연장하고 계시는 여러분도 이 영화를 통해 삶의 의지를 되찾으실 수 있으시면 좋겠네요:)",10
플레인,재미있어요재미있어요,8
소울메이트,재미있어요재미있어요,8
소울메이트,여운이 남는 영화입니다,10
스즈메의 문단속,별로 기대 안하고 봤는데 넘 재밌었음,10
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",내가 영화를 보는건지 귀칼 노래들으러온건지 돈아까웟다,2
영웅,노래와 연기가 너무 멋지고 영화가 끝난 후 먹먹함과 여운이 남는 영화,10
로건 럭키,재미 없는 영화. &amp;#39;관객이 무엇을 원하는지 일부로 모르는 척하는건가?&amp;#39; 싶을정도...,5
